PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Gregory, Alex; Mitchell, Peter; Pargeter, Justin								Raw Material Surveys and Their Behavioral Implications in Highland Lesotho								JOURNAL OF PALEOLITHIC ARCHAEOLOGY				6	1					18			10.1007/s41982-023-00138-y							Article	JUN 2 2023	2023										0	0	0	0	0	0	0				2520-8217											2023-06-14	WOS:000999875800001		
J	de Soler, Bruno Gomez; Soto, Maria; Carrancho, Angel; Gispert-Guirado, Francesc; Mommsen, Hans; Morales, Juan Ignacio; del Pozo, Alicia Munoz; Roldan, Clodoaldo; Eixea, Aleix; Chacon, M. Gema; Soares-Remiseiro, Miguel; Vallverdu, Josep					Gomez de Soler, Bruno/0000-0002-2539-3811			A multi-technique approach to characterization: the Sant Marti de Tous chert as a prehistoric resource for the NE of the Iberian Peninsula								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				15	6					85			10.1007/s12520-023-01780-x							Article	JUN 2023	2023										0	0	0	0	0	0	0			1866-9557	1866-9565											2023-06-02	WOS:000992900600001		
J	Pristakova, Michaela; Adamekova, Katarina; Petrik, Jan; Dresler, Petr; Prokes, Lubomir				Prišťáková, Michaela/AAV-3968-2021				Tracing the spatial organization and activity zones of an Early Mediaeval homestead at the Pohansko stronghold (Czechia) by combining geophysics and geochemical mapping								ARCHAEOLOGICAL PROSPECTION													10.1002/arp.1907					MAY 2023		Article; Early Access		2023										0	0	0	0	0	0	0			1075-2196	1099-0763											2023-06-16	WOS:000997056500001		
J	Wolfhagen, Jesse Langdon								Estimating the Ontogenetic Age and Sex Composition of Faunal Assemblages with Bayesian Multilevel Mixture Models								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY													10.1007/s10816-023-09611-y					MAY 2023		Article; Early Access		2023										0	0	0	0	0	0	0			1072-5369	1573-7764											2023-06-03	WOS:000994733700001		
J	Maier, Andreas; John, Robin; Linsel, Florian; Roth, Georg; Antl-Weiser, Walpurga; Bauer, Lisa; Buchinger, Norbert; Cavak, Levin; Hoffmann, Helen; Puschmann, Janos; Schemmel, Marcel; Schmid, Viola C.; Simon, Ulrich; Thomas, Roswitha					Simon, Ulrich/0000-0002-0195-467X			Analyzing Trends in Material Culture Evolution-a Case Study of Gravettian Points from Lower Austria and Moravia								JOURNAL OF PALEOLITHIC ARCHAEOLOGY				6	1					15			10.1007/s41982-023-00145-z							Article	MAY 16 2023	2023										0	0	0	0	0	0	0				2520-8217											2023-06-03	WOS:000990585800001		
J	Partiot, Caroline; Santos, Frederic; Niel, Melissa; Delteil, Clemence; Lesieur, Emmanuelle; Chaumoitre, Kathia; Piercecchi, Marie-Dominique; Adalian, Pascal					Santos, Frederic/0000-0003-1445-3871			The distal femoral epiphysis used as a fetal maturity marker: Implications of extant medical data for bioarcheological analysis								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY													10.1002/oa.3240					MAY 2023		Article; Early Access		2023										0	0	0	0	0	0	0			1047-482X	1099-1212											2023-06-02	WOS:000987972900001		
J	Archer, W.; Presnyakova, D.; Heinrich, S.; Stahlschmidt, M. C.								A Predictive Model for the Non-Destructive Assessment of Stone Age Silcrete Heat Treatment Strategies								JOURNAL OF PALEOLITHIC ARCHAEOLOGY				6	1					14			10.1007/s41982-023-00141-3							Article	MAY 15 2023	2023										0	0	0	0	0	0	0				2520-8217											2023-05-28	WOS:000987153600001		
J	Otero, Felipe; Beguelin, Marien; Gordon, Florencia								A Blunt Force Trauma Analysis of Interpersonal Violence in Northern Patagonia and Southern Pampa (Argentina): An Experimental Perspective								LATIN AMERICAN ANTIQUITY										PII S1045663523000056			10.1017/laq.2023.5					MAY 2023		Article; Early Access		2023										0	0	0	0	0	0	0			1045-6635	2325-5080											2023-05-30	WOS:000985090200001		
J	Arencibia, Valeria; Munoz Hidalgo, Marianne; Crespo, Cristian; Maldonado, Lucas; Lichtenstein, Gabriel; Kamenetzky, Laura; Vera, Pablo; Zangrando, Atilio F.; Tessone, Augusto; Avena, Sergio; Lia, Veronica; Puebla, Andrea; Dejean, Cristina					Arencibia, Valeria/0000-0002-5360-2457			Ancient Human Mitogenome of the Beagle Channel (Tierra del Fuego): An Argentine Collaborative Project								LATIN AMERICAN ANTIQUITY										PII S1045663523000135			10.1017/laq.2023.13					MAY 2023		Article; Early Access		2023										0	0	0	0	0	0	0			1045-6635	2325-5080											2023-05-21	WOS:000985169000001		
J	Ma, Shuwen; Doyon, Luc; Zhang, Yameng; Li, Zhanyang								Disentangling carcass processing activities and the state of worked hide from use-wear patterns on expedient bone tools: A preliminary experiment								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				49						104027			10.1016/j.jasrep.2023.104027					MAY 2023		Article	JUN 2023	2023										0	0	0	0	0	0	0			2352-409X												2023-06-19	WOS:001003676000001		
J	Daems, Dries; Coco, Emily; Gillreath-Brown, Andrew; Kafetzaki, Danai					Gillreath-Brown, Andrew/0000-0002-2272-5542; Daems, Dries/0000-0002-6444-9013			The Effects of Time-Averaging on Archaeological Networks								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY													10.1007/s10816-023-09608-7					MAY 2023		Article; Early Access		2023										0	0	0	0	0	0	0			1072-5369	1573-7764											2023-05-18	WOS:000982387900001		
J	Milon, Juliette; Bouchaud, Charlene; Viot, Christopher; Lemoine, Michel; Cucchi, Thomas								Exploring the carbonization effect on the interspecific identification of cotton (Gossypium spp.) seeds using classical and 2D geometric morphometrics								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				49						104007			10.1016/j.jasrep.2023.104007					MAY 2023		Article	JUN 2023	2023										0	0	0	0	0	0	0			2352-409X												2023-06-20	WOS:001003647700001		
J	Peripoli, Beatrice; Gigante, Melania; Mahoney, Patrick; McFarlane, Gina; Coppa, Alfredo; Lugli, Federico; Lauria, Gabriele; Bondioli, Luca; Sconzo, Paola; Sineo, Luca; Nava, Alessia					McFarlane, Gina/0000-0002-7441-2281			Exploring prenatal and neonatal life history through dental histology in infants from the Phoenician necropolis of Motya (7th-6th century BCE)								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				49						104024			10.1016/j.jasrep.2023.104024					MAY 2023		Article	JUN 2023	2023										0	0	0	0	0	0	0			2352-409X												2023-06-18	WOS:001003161200001		
